Age,TTh,ATh,TAP,MAAT,FI,MIRI,PI,AADTT, pass Sieve 200 subgrade, pass Sieve 200 base_subbase,PCI
17.6,454.7,121.9,511.2000122,8.699999809,701,2.155999899,,,,,10.69
8.81,586.8,250,385.1000061,7.5,185,0.79,9,155,,22,83.66
11.08,586.8,251,458.7000122,5.5,465,0.78,9,172,,22,85.52
13.11,586.8,252,504.7999878,6.800000191,529,1.071,9,200,,22,71.73
14.97,586.8,253,633.7999878,7.099999905,559,1.093,9,212,,22,64.18
16.9,586.8,254,772,8.5,735,1.25,9,189,,22,57.88
8.81,736.6,76.2,385.1000061,7.5,185,1.02,,,,,71.03
11.3,736.6,76.2,458.7000122,5.5,465,1.22,,,,,68.03
13.11,736.6,76.2,504.7999878,6.800000191,529,1.45,,,,,42.3
14.97,736.6,76.2,633.7999878,7.099999905,559,1.09,,,,,61.82
16.9,736.6,76.2,772,8.5,735,1.61,,,,,36.54
8.81,792.5,86.4,385.1000061,7.5,185,0.89,,,,,82.93
11.08,792.5,86.4,458.7000122,5.5,465,1.02,,,,,59.52
13.11,792.5,86.4,504.7999878,6.800000191,529,1.448,,,,,42.28
14.97,792.5,86.4,633.7999878,7.099999905,559,1.61,,,,,36.89
16.9,792.5,86.4,772,8.5,735,1.644,,,,,37.31
8.81,668,86.3,385.1000061,7.5,185,0.9,,,,,82.4
11.08,668,86.3,458.7000122,5.5,465,1.45,,,,,42.29
13.11,668,86.3,504.7999878,6.800000191,529,1.45,,,,,41.76
14.97,668,86.3,633.7999878,7.099999905,559,1.61,,,,,36.89
16.9,668,86.3,772,8.5,735,1.63,,,,,31.21
16.9,673.1,78.7,772,8.5,735,1.63,,,,,31.2
8.81,673.1,78.7,385,7.5,185,0.88,,,,,81.3
14.97,673.1,78.7,504.7999878,7.099999905,559,1.61,,,,,36.89
13.11,673.1,78.7,505,6.800000191,529,1.45,,,,,41.2
11.08,673.1,78.7,459,5.5,465,1.416000009,,,,,69.6
8.71,436.9,129.6,461,8.899999619,365,1.58,,,,,32.61
15.73,436.9,129.6,351.2000122,8.800000191,351,1.9,,,,,11.29
16.78,436.9,129.6,460.5,9.100000381,365,2.12,,,,,7.36
8.71,477.5,134.6,461,8.899999619,365,1.59,,,,,32.61
8.71,485.1,147.3,460.5,8.899999619,365,1.6,,,,,32.1
8.71,459.7,142.2,460.5,8.899999619,365,1.6,,,,,30.1
8.71,459.7,134.6,460.5,8.899999619,365,1.61,,,,,30.2
8.71,485.1,129.6,460.5,8.899999619,365,1.62,,,,,30.1
8.71,487.7,132,460.5,8.899999619,365,1.61,,,,,30.25
8.71,477.5,134.6,460.5,8.899999619,365,1.59,,,,,31.2
8.72,457.2,132,460.5,8.899999619,365,1.57,,,,,33.2
8.72,457.2,132,460.5,8.899999619,365,1.59,,,,,31.2
0.23,180.3,114.3,200.3000031,7.099999905,319,0.7,,,,,96.72
1.27,180.3,114.3,244.3999939,6,393,0.7,,,,,96.72
2.16,180.3,114.3,284.7999878,5.300000191,421,0.72,,,,,93.91
4.05,180.3,114.3,327.6000061,6.900000095,455,0.85,,,,,85.2
5.03,180.3,114.3,352.3999939,6.900000095,486,0.88,,,,,82.73
6.29,180.3,114.3,368.8999939,6.5,536,0.9,,,,,80.73
6.95,180.3,114.3,388.8999939,6.800000191,552,1.02,,,,,79.78
8.18,180.3,114.3,409.3999939,5.599999905,594,1.45,,,,,60.4
8.96,180.3,114.3,410.7999878,7,735,1.45,,,,,60.28
0.23,304.8,175.3,200.3000031,7.099999905,319,0.7,,,,,96.72
1.27,304.8,175.3,244.3999939,6,393,0.71,,,,,95.22
2.16,304.8,175.3,284.7999878,5.300000191,421,0.83,,,,,88.99
4.05,304.8,175.3,327.6000061,6.900000095,455,0.85,,,,,85.2
5.03,304.8,175.3,352.3999939,6.900000095,486,0.88,,,,,82.37
6.29,304.8,175.3,368.8999939,6.5,536,0.89,,,,,83.45
6.95,304.8,175.3,388.8999939,6.800000191,552,1.02,,,,,79.78
8.18,304.8,175.3,409.3999939,5.599999905,594,1.45,,,,,60.4
